-0.087346,0.084862,0.54942
-0.08834,0.082355,0.54832
-0.089237,0.080106,0.54625
-0.089644,0.077738,0.54416
-0.089922,0.07565,0.5415
-0.090089,0.073653,0.53863
-0.09047,0.071396,0.53585
-0.090888,0.069348,0.53342
-0.091525,0.067425,0.53123
-0.09236,0.065078,0.52813
-0.092708,0.063335,0.52529
-0.093624,0.06116,0.52317
-0.094372,0.059224,0.52053
-0.095182,0.056955,0.51757
-0.09618,0.054673,0.51491
-0.096963,0.052505,0.51254
-0.097959,0.050397,0.51017
-0.098913,0.048566,0.50717
-0.099713,0.046799,0.50435
-0.10083,0.044946,0.50239
-0.1019,0.042859,0.49916
-0.1027,0.041233,0.49666
-0.10413,0.038401,0.49394
-0.10617,0.036972,0.49111
-0.10069,0.040708,0.48696
-0.10204,0.038825,0.48429
-0.10332,0.036915,0.48139
-0.10459,0.03505,0.47879
-0.10637,0.033695,0.47626
-0.10752,0.031864,0.47328
-0.1091,0.03035,0.47041
-0.11036,0.028746,0.46798
-0.11205,0.026839,0.46512
-0.11349,0.025801,0.46243
-0.11521,0.02432,0.4597
-0.087797,0.084229,0.55005
-0.08813,0.082614,0.54743
-0.088809,0.080409,0.54563
-0.08915,0.078374,0.543
-0.089276,0.076539,0.54046
-0.089811,0.074435,0.5382
-0.090146,0.072114,0.53544
-0.090635,0.069856,0.5327
-0.091003,0.067751,0.52981
-0.091824,0.065856,0.52772
-0.092638,0.063572,0.52496
-0.093309,0.061825,0.52206
-0.093932,0.059489,0.51926
-0.094686,0.057312,0.51677
-0.095478,0.055517,0.51405
-0.096683,0.053314,0.51155
-0.097922,0.051139,0.50913
-0.09263,0.055283,0.5054
-0.093851,0.053048,0.50271
-0.094598,0.050785,0.49996
-0.095678,0.049046,0.4979
-0.096849,0.046819,0.49478
-0.09801,0.045262,0.49246
-0.099509,0.043047,0.48911
-0.10064,0.040939,0.48598
-0.10178,0.039495,0.48345
-0.10301,0.037356,0.48073
-0.1045,0.035644,0.47781
-0.10599,0.033989,0.47534
-0.10728,0.032219,0.47259
-0.10869,0.030566,0.46958
-0.11023,0.029275,0.46707
-0.11233,0.027757,0.46425
-0.11355,0.025882,0.4618
-0.11488,0.024502,0.45875
-0.089474,0.082333,0.55299
-0.08942,0.081035,0.54999
-0.089716,0.079324,0.54737
-0.090004,0.077213,0.54451
-0.090276,0.07522,0.54209
-0.090532,0.073484,0.53909
-0.090694,0.071195,0.5363
-0.091162,0.069145,0.53387
-0.091471,0.067341,0.53094
-0.092415,0.065006,0.52839
-0.092832,0.062923,0.52526
-0.09346,0.061751,0.52257
-0.0942,0.059347,0.51988
-0.094797,0.057472,0.51692
-0.095815,0.055136,0.51422
-0.096652,0.053138,0.51182
-0.097929,0.051364,0.50926
-0.098942,0.048931,0.50657
-0.099467,0.046847,0.50374
-0.10045,0.04521,0.50143
-0.1015,0.042911,0.49824
-0.096868,0.046879,0.49488
-0.098062,0.044838,0.4921
-0.099155,0.042753,0.48888
-0.10061,0.041134,0.48608
-0.10188,0.039532,0.48348
-0.10307,0.03719,0.48076
-0.10446,0.035787,0.47812
-0.10597,0.033817,0.47537
-0.10715,0.032418,0.47264
-0.10885,0.030464,0.46959
-0.11023,0.029121,0.46721
-0.11164,0.027813,0.46439
-0.11352,0.025956,0.46168
-0.1149,0.024545,0.45879
-0.091355,0.079901,0.55654
-0.090928,0.079509,0.55318
-0.091291,0.077568,0.55022
-0.091489,0.075628,0.54728
-0.091673,0.073764,0.54506
-0.091829,0.07164,0.54176
-0.092152,0.069468,0.53915
-0.092466,0.067765,0.53637
-0.092977,0.065516,0.5336
-0.093448,0.063674,0.53071
-0.094242,0.061552,0.52805
-0.094829,0.059746,0.52561
-0.0955,0.057408,0.52255
-0.09617,0.055584,0.51973
-0.096908,0.053653,0.51711
-0.097761,0.051672,0.51475
-0.098752,0.049274,0.51182
-0.099756,0.047254,0.50891
-0.1006,0.045774,0.50624
-0.1014,0.043665,0.5031
-0.10293,0.041731,0.50066
