-0.077865,0.062587,0.52333,-0.12627,0.12883,0.55035,-0.12358,0.061428,0.50675,-0.1341,0.12864,0.56304,-0.11411,0.12851,0.57035,-0.086573,0.1198,0.57346,-0.087427,0.06444,0.53506,-0.098827,0.053997,0.51539,-0.087264,0.10528,0.56379,-0.078384,0.052164,0.5271
-0.079287,0.059953,0.52338,-0.12666,0.12645,0.55002,-0.12091,0.065834,0.50616,-0.13423,0.12692,0.5625,-0.11437,0.12591,0.56981,-0.087108,0.11647,0.57273,-0.088783,0.06183,0.53415,-0.10048,0.051318,0.51573,-0.087898,0.10288,0.5625,-0.080016,0.049374,0.52742
-0.080303,0.05747,0.52087,-0.1266,0.12443,0.5483,-0.12011,0.067473,0.50532,-0.13409,0.12506,0.56121,-0.11377,0.1237,0.56826,-0.086869,0.11404,0.5708,-0.090086,0.059493,0.53227,-0.10193,0.04939,0.51328,-0.088388,0.10072,0.56024,-0.081011,0.047168,0.52521
-0.081316,0.055253,0.51861,-0.12646,0.12328,0.54692,-0.12097,0.065465,0.50252,-0.13364,0.12317,0.55987,-0.11375,0.12145,0.56675,-0.086677,0.11209,0.56914,-0.091195,0.056905,0.53037,-0.10314,0.047609,0.51077,-0.088093,0.098572,0.55794,-0.081805,0.044916,0.52079
-0.082549,0.053241,0.51532,-0.12607,0.12129,0.54433,-0.12181,0.063769,0.49978,-0.1329,0.1217,0.55778,-0.11293,0.12039,0.56432,-0.085924,0.1097,0.56641,-0.091942,0.055056,0.52759,-0.10423,0.045787,0.50893,-0.087902,0.096243,0.55541,-0.083149,0.042543,0.51972
-0.083341,0.05107,0.51251,-0.1258,0.11965,0.54252,-0.12257,0.062408,0.49789,-0.13261,0.12005,0.5559,-0.11257,0.11815,0.56199,-0.085618,0.10757,0.56369,-0.092413,0.052947,0.52482,-0.10516,0.044135,0.50513,-0.087765,0.09436,0.55244,-0.084144,0.040429,0.51556
-0.084394,0.049085,0.50983,-0.12562,0.11774,0.54034,-0.12373,0.060867,0.49552,-0.1323,0.11831,0.55415,-0.11184,0.11608,0.55993,-0.085444,0.10554,0.56109,-0.093221,0.050838,0.52234,-0.10619,0.042173,0.5034,-0.087719,0.091954,0.54936,-0.085418,0.038159,0.51294
-0.085748,0.046526,0.50729,-0.12536,0.11607,0.53825,-0.12504,0.059219,0.49311,-0.13206,0.11656,0.55251,-0.11167,0.11421,0.55797,-0.085251,0.10347,0.55871,-0.09416,0.048879,0.51999,-0.10788,0.040257,0.50092,-0.087615,0.089816,0.54686,-0.08647,0.036198,0.51037
-0.086805,0.044884,0.50474,-0.12521,0.11457,0.53641,-0.12636,0.057598,0.49108,-0.13134,0.11498,0.55061,-0.11136,0.11235,0.55585,-0.08497,0.10135,0.55639,-0.095178,0.046912,0.5174,-0.10946,0.038333,0.49843,-0.087872,0.087938,0.54507,-0.087712,0.034174,0.50806
-0.088117,0.042942,0.50166,-0.12515,0.11279,0.53462,-0.12733,0.056268,0.4895,-0.13113,0.11291,0.54867,-0.11093,0.11074,0.55357,-0.084795,0.099012,0.55363,-0.096499,0.04453,0.51466,-0.11049,0.03654,0.49584,-0.088222,0.085627,0.54161,-0.089125,0.032127,0.50527
-0.08919,0.040862,0.49881,-0.12488,0.11117,0.53198,-0.12865,0.054851,0.48716,-0.13108,0.11106,0.54656,-0.11059,0.1086,0.55141,-0.084529,0.096727,0.55105,-0.097105,0.043091,0.51215,-0.11171,0.034786,0.49282,-0.088311,0.083579,0.53843,-0.090318,0.030148,0.50078
-0.09042,0.038698,0.496,-0.12492,0.10948,0.53059,-0.12998,0.053464,0.48573,-0.13089,0.10935,0.54483,-0.11047,0.10631,0.54926,-0.084916,0.094522,0.5487,-0.098526,0.040765,0.5095,-0.11323,0.033058,0.49069,-0.088722,0.081555,0.53684,-0.091663,0.028214,0.49894
-0.091778,0.036629,0.49356,-0.12521,0.10752,0.52815,-0.13143,0.051781,0.48336,-0.13058,0.10794,0.5427,-0.11041,0.10419,0.54704,-0.084758,0.092349,0.54607,-0.099809,0.038944,0.50679,-0.11489,0.031396,0.48816,-0.088934,0.079503,0.53426,-0.092891,0.026307,0.49595
-0.093203,0.034347,0.49029,-0.12526,0.1059,0.52584,-0.13276,0.050573,0.48133,-0.13019,0.10634,0.54065,-0.11024,0.10248,0.54487,-0.084359,0.08924,0.54351,-0.10136,0.036381,0.50421,-0.11632,0.029929,0.48543,-0.089006,0.077529,0.53093,-0.094535,0.024445,0.49301
-0.094855,0.032635,0.48783,-0.12534,0.1044,0.52392,-0.13391,0.048854,0.47853,-0.13025,0.10457,0.53858,-0.11011,0.10078,0.54251,-0.084933,0.087344,0.54082,-0.10264,0.034449,0.50142,-0.1178,0.028081,0.48286,-0.089716,0.074896,0.52841,-0.096371,0.022358,0.4907
-0.096375,0.030302,0.48548,-0.12526,0.10259,0.52182,-0.13574,0.047593,0.4772,-0.13028,0.10279,0.53658,-0.11018,0.09862,0.54014,-0.08504,0.085226,0.53806,-0.10373,0.031983,0.4988,-0.11946,0.026403,0.48111,-0.0902,0.073027,0.52628,-0.097977,0.020527,0.48779
-0.095522,0.031474,0.48287,-0.12563,0.10063,0.52027,-0.13694,0.046327,0.47516,-0.13062,0.1011,0.53521,-0.10996,0.096801,0.53829,-0.085611,0.082768,0.53575,-0.10519,0.029714,0.4971,-0.12113,0.024936,0.47792,-0.090731,0.07108,0.52324,-0.099829,0.021901,0.48355
